,sim_rt_mean,sim_rt_std
WVE3Y12H,457.179,246.6626079893141
8BKUAN4C,484.2325,265.940778544014
UH6R1YZV,443.528,242.2442163317281
W236WLM5,379.7925,180.43521518037602
HYTA5DTD,504.2365,291.154764886835
ZUXHPX3N,451.5275,239.18092942843737
5MRTJNYU,417.739,215.7084512646027
2FV7FT02,414.654,209.11158531166026
NXL6MCVD,338.4795,152.1667964659944
72PBFKDM,465.852,261.1318671131714
BN1EY1AM,417.69,218.381780835995
W6U5BGJA,438.9655,228.4379045777516
9AULPA6C,419.88,220.0119365537085
XVA5ENX1,348.961,158.2948423277075
9RUX0DHA,376.2565,174.3060067804603
M95G4AL8,499.8805,285.9153616313023
20453XZE,515.6565,297.56732122846006
E9T75A4M,363.5625,174.39548155196817
3R6TY43Y,450.941,242.34071888771706
7N9P7K46,375.588,180.65323703722007
2376Z5FY,400.916,209.08856247408357
99F38BWD,456.243,248.02657628220234
PKD1XX0E,441.994,238.04128169268233
65VTXZRA,494.4955,279.51971060026705
P0D6UYGA,345.9535,152.72775196689182
2VGT219A,418.63,220.44501605287266
V0L5J7B4,380.59,191.25485905083636
0U0ZAG3B,455.8895,248.45365140846513
T48MJ3F9,369.3225,174.3318510510786
8CT52P5H,420.304,215.21314767798626
NNPFHUUY,480.9175,272.4433783209742
T09Y5F0B,504.6775,289.5233243996686
CP854T1A,476.009,267.63209895151704
W3GNFYF3,388.6835,186.75574203044113
N8RFAZ29,495.8375,284.95980091553076
NX42,379.945,188.40037506773396
R2TNT1JG,379.089,183.7639155746679
VLXUETVJ,506.67233616808403,293.7792563159226
UGKWA479,428.899,218.9125559500329
F10GU9K6,510.41320660330166,305.18023251841333
CJ0YPLW6,461.7625,262.7975025707602
173ZYYKX,650.1433583959899,416.618208549307
HFZ6EMM2,386.3995,192.7522285488686
XPH3884U,371.4115,181.51194578038243
X43TTKW0,440.856,233.00355489197187
TA50AT7K,502.9375,282.26171265505616
PEG2KF9H,389.9755,201.62649508809787
HL80JFPU,430.911,224.22351163645905
U6LKLMJU,444.51,242.72198062791918
00R4TXET,412.093,218.24914592237909
MHDDJ00W,482.04,264.6094149330965
TMX63F51,495.5967983991996,286.4915547109121
9NJKP5VL,441.148,242.5693963632387
2E77XGT6,438.6,238.46588432938265
0Y712XLV,439.7303651825913,232.72296150192602
W323P74D,486.8144072036018,292.76322921589247
6G63P8W4,459.278,254.6664253687656
469WWLEH,371.741,174.93961201776588
M89ZJM03,469.5595,253.44016733532882
4WU2W91W,278.807,108.39938636580116
AB134L14,470.73,268.7179781404436
CWPG,458.378,260.711340983968
NSFRRMAK,365.069,177.83992734726203
0NXVE8CT,498.1255,282.4388280593654
V305VP0P,504.2,299.82311944123944
9P7FV88J,494.5215,270.6728106459189
X7RUVFDV,440.173,239.78110551142294
9w3pu5p5,562.019019019019,336.900725417472
FB252NMF,447.029,236.38455954015797
