,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
CJJ6DH5D,293.0166666666666,246.71923716418095,460.59999999999997,325.3333333333333,290.0737212173354,495.0166666666667,217.65,143.46973408448125,313.25000000000006
CJN8VTTY,279.8166666666666,269.6950793202979,357.85,289.03333333333325,280.7964889372937,368.46666666666664,236.2166666666666,221.6608691976862,287.56666666666666
CJW0RAFP,278.8333333333333,269.41255983710204,349.3833333333334,287.51666666666665,280.02982227062705,359.23333333333323,240.8333333333333,227.4942025310196,286.08333333333337
CK4E8YDE,287.18333333333334,262.19018021461005,411.8833333333333,306.43333333333334,286.53686060866767,431.9166666666667,218.86666666666667,179.26228855537178,300.25000000000006
CK8WM58K,302.28333333333336,227.12764265522662,623.6833333333334,352.53333333333325,291.9598222460649,715.0666666666667,216.63333333333333,112.26753227962078,341.25
CKB3W23J,294.43333333333334,247.24031875110444,491.3833333333333,328.35,290.6456445363417,542.1833333333333,215.64999999999998,141.34661226530824,317.6
CKMG9A44,306.31666666666666,212.97794560858347,685.2499999999999,366.51666666666665,292.99058180144095,773.4333333333333,217.6333333333333,91.5278452814486,355.5833333333333
CKTT8HAT,289.3666666666667,256.5344672587848,426.43333333333334,313.26666666666665,287.8938989467083,448.36666666666673,217.81666666666663,165.33766540397966,304.6833333333334
CL18941F,283.41666666666663,267.82082033932846,385.20000000000005,296.45,283.57982227062706,401.3666666666667,224.9666666666666,200.96527374852218,293.1666666666667
CL1R63XL,295.08333333333326,241.58615205398692,482.2833333333333,331.36666666666673,291.2281695647906,505.68333333333334,215.73333333333335,133.51698952729572,319.4166666666667
CL748RXE,274.51666666666665,317.7637714006138,334.9000000000001,263.5166666666667,279.1634785197266,323.11666666666673,247.28333333333333,287.1012469456616,283.66666666666674
CL9HK006,291.06666666666666,250.42484956809795,486.25000000000006,319.7666666666667,287.1754668069687,528.1,221.3,163.34715408390633,314.1833333333334
CLA2CZ2U,283.71666666666664,268.43667315585776,388.7666666666667,296.41666666666663,283.6964889372937,404.46666666666664,222.13333333333333,198.9732595788297,293.4333333333334
CLPZV4DJ,282.93333333333334,268.14087229451764,381.8833333333334,295.18333333333334,282.9464889372937,397.1666666666667,225.48333333333332,202.39062125154805,292.35
CM5LWCBW,307.81666666666666,215.28982531113064,725.8166666666666,368.81666666666666,292.53713934712044,855.1166666666666,217.51666666666665,95.82165293851295,358.26666666666665
CM7KCH5J,279.15,269.98545448317924,353.81666666666666,287.6333333333333,279.9964889372937,363.2833333333333,238.0833333333333,224.89420253101952,286.8833333333333
CM8902RM,288.4,259.70168823026563,419.08333333333326,309.8999999999999,287.3035272753343,442.8333333333333,217.43333333333328,171.0204026509919,302.23333333333335
CM90UZ9J,292.9333333333334,247.38193578462045,506.18333333333334,324.29999999999995,287.36503832330334,556.7333333333332,220.11666666666667,156.42283211514743,317.4666666666667
CMBYYG5A,279.3666666666667,269.1174313687406,354.8,289.1333333333333,280.69648893729374,365.84999999999997,239.09999999999997,224.1608691976862,287.6333333333333
