,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded,gen-standard_SSRT-vanilla,gen-standard_SSRT-w_guesses,gen-standard_SSRT-w_graded
FAL2YLLP,271.28333333333336,261.59486361596,124.23333333333335,210.18333333333337,201.91394557217123,122.33333333333334,261.5833333333333,252.34032598680477,98.16666666666667
FAM4RN2C,274.19999999999993,262.3781969492933,164.66666666666666,209.95,200.20179422957852,177.08333333333337,262.21666666666664,251.07043459960718,90.86666666666666
FAMRPW9C,268.61666666666673,261.46153028262665,179.5666666666667,218.01666666666668,211.65492078528203,146.18333333333334,261.8333333333333,254.92365932013814,162.13333333333335
FAYT4PA6,267.1166666666666,261.8615302826267,198.74999999999997,227.16666666666666,222.41256266505954,167.16666666666666,262.4,257.2236593201381,186.79999999999998
FAYYH7CJ,298.0833333333333,270.29125885332735,565.0333333333332,199.46666666666664,167.53659494331447,988.3166666666665,272.4999999999999,245.75796398938328,
FAZN3GRJ,291.41666666666663,266.9083665500578,446.59999999999997,200.71666666666667,177.23980788954714,660.3666666666666,268.34999999999997,244.99723182318561,
FB252NMF,272.46666666666664,261.8730605652533,176.7166666666667,209.9,200.89682465940925,168.4,261.93333333333334,251.8754074464066,123.21666666666667
FB2YC0F5,267.96666666666664,261.36153028262663,190.73333333333332,218.66666666666669,212.66256266505957,144.41666666666663,261.78333333333336,255.3736593201381,176.88333333333333
FB9M4ZBX,273.1166666666666,262.2961211305065,191.2166666666667,213.76666666666668,204.54815878163367,213.98333333333335,262.70000000000005,252.33737294667748,142.80000000000004
FBE9UXHG,266.6,262.21153028262665,206.95000000000002,232.11666666666665,228.06256266505954,184.1833333333333,262.9,258.49032598680486,196.3333333333333
FBKHE2PK,292.8833333333333,268.33375445021534,480.40000000000003,199.9,172.81779249696913,805.3333333333333,269.9166666666667,246.39169666876955,
FBRPT56J,279.34999999999997,262.85125751454655,260.8,201.81666666666663,188.37814339942486,296.0333333333333,262.95,247.48065182521208,103.93333333333335
