ID,SSRT_mean,SSRT_integration,SSRT_omission,SSRT_replacement,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc
14,175.27999999999997,153.0,153.0,153.0,275.0,0.4401282051282051,1000.0,450.28,445.3131371977862,0,0.0,,
15,381.9034369885434,242.0,247.0,247.0,275.0,0.19474358974358974,1000.0,656.9034369885434,548.5102040816327,39,0.06,,
16,248.18153846153848,197.0,197.0,197.0,275.0,0.3778205128205128,1000.0,523.1815384615385,495.552765524262,0,0.0,,
17,102.75999999999999,104.0,104.0,104.0,275.0,0.55,1000.0,377.76,389.4911421911422,0,0.0,,
18,151.2246153846154,138.0,138.0,138.0,275.0,0.4867948717948718,1000.0,426.2246153846154,430.813537002897,0,0.0,,
19,245.1538461538462,176.0,176.0,176.0,275.0,0.3308974358974359,1000.0,520.1538461538462,483.7500968616815,0,0.0,,
20,153.82307692307694,142.0,142.0,142.0,275.0,0.5021794871794871,1000.0,428.82307692307694,432.3747766147562,0,0.0,,
21,239.3107692307692,191.0,191.0,191.0,275.0,0.3776923076923077,1000.0,514.3107692307692,486.0285132382892,0,0.0,,
22,124.3553846153846,110.0,110.0,110.0,275.0,0.4816666666666667,1000.0,399.3553846153846,407.2315677402183,0,0.0,,
23,168.27384615384614,149.0,149.0,149.0,275.0,0.46923076923076923,1000.0,443.27384615384614,440.89918032786886,0,0.0,,
24,212.16153846153844,178.0,178.0,178.0,275.0,0.4053846153846154,1000.0,487.16153846153844,461.67141049968376,0,0.0,,
25,113.24461538461537,116.0,116.0,116.0,275.0,0.5616666666666666,1000.0,388.2446153846154,402.3709198813056,0,0.0,,
26,127.57538461538462,130.0,130.0,130.0,275.0,0.5317948717948718,1000.0,402.5753846153846,410.5817261330762,0,0.0,,
27,208.44615384615383,170.0,170.0,170.0,275.0,0.4024358974358974,1000.0,483.44615384615383,468.0277158330679,0,0.0,,
28,131.56923076923078,124.0,124.0,124.0,275.0,0.49884615384615383,1000.0,406.5692307692308,414.97584168594193,0,0.0,,
29,134.2753846153846,120.0,120.0,120.0,275.0,0.47974358974358977,1000.0,409.2753846153846,409.2047033671833,0,0.0,,
30,112.24000000000001,114.0,114.0,114.0,275.0,0.5494871794871795,1000.0,387.24,407.28371441903874,0,0.0,,
31,191.22307692307692,164.0,164.0,164.0,275.0,0.4175641025641026,1000.0,466.2230769230769,456.5016886705557,0,0.0,,
32,273.46213292117466,204.0,204.0,204.0,275.0,0.33525641025641023,1000.0,548.4621329211747,497.823326959847,3,0.004615384615384616,,
33,332.19558359621453,219.0,222.0,222.0,275.0,0.23705128205128206,1000.0,607.1955835962145,523.2709572742023,16,0.024615384615384615,,
34,302.055900621118,217.0,217.0,217.0,275.0,0.2803846153846154,1000.0,577.055900621118,515.5500685871057,6,0.009230769230769232,,
35,200.26153846153846,168.0,168.0,168.0,275.0,0.43564102564102564,1000.0,475.26153846153846,462.1085932901707,0,0.0,,
36,213.95999999999998,178.0,178.0,178.0,275.0,0.3962820512820513,1000.0,488.96,479.55936590100293,0,0.0,,
37,156.09692307692308,136.0,136.0,136.0,275.0,0.47307692307692306,1000.0,431.0969230769231,434.57859078590786,0,0.0,,
38,248.83487654320993,185.0,186.0,186.0,275.0,0.3376923076923077,1000.0,523.8348765432099,483.1564160971906,2,0.003076923076923077,,
39,377.4,233.0,244.0,244.0,275.0,0.19397435897435897,1000.0,652.4,541.2947785855915,40,0.06153846153846154,,
40,233.31481481481484,180.0,180.0,180.0,275.0,0.35807692307692307,1000.0,508.31481481481484,486.2735409953455,2,0.003076923076923077,,
41,133.94615384615383,119.0,119.0,119.0,275.0,0.4816666666666667,1000.0,408.94615384615383,411.23609262709607,0,0.0,,
42,206.3446153846154,165.0,165.0,165.0,275.0,0.3935897435897436,1000.0,481.3446153846154,461.09218241042345,0,0.0,,
43,364.44975288303135,237.0,243.0,243.0,275.0,0.20307692307692307,1000.0,639.4497528830314,534.7285353535353,43,0.06615384615384616,,
