,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
04BFG4JM,340.6333333333333,218.76666666666665,397.1333333333334,293.25000000000006,225.49534450101083,104.14650897439965,285.31035000276233,185.31180917753755,579.1333333333333,303.84999999999997,665.3333333333333,433.3166666666667,579.1333333333333,303.84999999999997,665.3333333333333,433.3166666666667,300.0,227.0,374.0,294.0,255.558,219.15200000000002,356.70599999999996,274.632
052HU3CU,350.8833333333333,221.64999999999998,396.06666666666666,321.6,266.7362926783212,116.31484933919168,312.59223888108653,237.45405564319108,706.2833333333333,331.98333333333335,785.8,572.3333333333334,706.2833333333333,331.98333333333335,785.8,572.3333333333334,300.0,232.0,359.0,307.0,291.394,222.36599999999999,373.426,312.892
06DP74KL,245.03333333333333,197.2833333333333,282.9166666666667,285.81666666666666,238.12695688278103,184.1298848979954,281.744810885521,284.3165267594404,363.01666666666665,287.7666666666667,421.29999999999995,422.08333333333337,363.01666666666665,287.7666666666667,421.29999999999995,422.08333333333337,260.0,194.0,292.0,280.0,272.11400000000003,193.12,313.332,288.634
07UK1DPH,231.5166666666667,201.76666666666665,272.1333333333334,266.21666666666664,217.82050316860455,185.44930057278515,260.69586480740253,254.24669769186661,311.4833333333333,268.78333333333336,365.8,353.8,311.4833333333333,268.78333333333336,365.8,353.8,261.0,200.0,307.0,266.0,239.43400000000003,192.304,312.29400000000004,259.18
08K0R9C4,265.7741935483871,246.1612903225806,299.0967741935483,276.6774193548387,246.27550582046518,225.15058661056096,279.2124889042756,256.42036686211264,319.1612903225807,284.1290322580645,355.6451612903225,326.32258064516134,319.1612903225807,284.1290322580645,355.6451612903225,326.32258064516134,300.0,235.0,380.0,294.0,265.284,225.72799999999998,346.9360000000001,284.832
0A4P0LWM,293.93333333333334,208.89999999999998,343.34999999999997,285.68333333333334,225.93882903980312,134.3063548288912,277.435220676648,219.19404056684255,478.05,283.8833333333334,542.6999999999999,412.68333333333334,478.05,283.8833333333334,542.6999999999999,412.68333333333334,286.0,216.0,352.0,287.0,247.764,207.584,334.89,275.502
0A4ZDYNL,232.60000000000002,204.83333333333331,281.46666666666664,266.4333333333334,213.78859625436985,183.3683247273901,264.50659218198297,247.47962809604678,314.45000000000005,268.1666666666667,377.54999999999995,349.59999999999997,314.45000000000005,268.1666666666667,377.54999999999995,349.59999999999997,263.0,209.0,324.0,266.0,239.15,193.508,324.28,257.64
0A9K5L4R,254.23333333333332,228.7833333333334,292.73333333333335,284.79999999999995,243.41773264241664,216.81665875042628,283.56199057182226,275.97647380336986,338.0,297.8,391.7666666666666,375.83333333333337,338.0,297.8,391.7666666666666,375.83333333333337,276.0,220.0,330.0,287.0,272.972,206.422,347.772,291.362
0BL9EL2Y,261.78333333333336,202.55,317.73333333333335,270.8166666666666,207.1446659630523,145.85016596238736,267.1960300672571,219.1648157044152,372.18333333333334,277.65,457.7833333333333,377.03333333333336,372.18333333333334,277.65,457.7833333333333,377.03333333333336,277.0,209.0,338.0,275.0,238.354,202.046,330.668,263.846
0CBFTKR7,224.53571428571425,204.42857142857142,272.0,254.55357142857144,206.78526744687045,186.03633193038195,255.27569869366266,238.3102877343808,287.2321428571429,257.0,344.0892857142858,322.0714285714286,287.2321428571429,257.0,344.0892857142858,322.0714285714286,252.0,196.0,310.0,260.0,214.87599999999998,185.782,303.336,255.18
0CFR33F0,251.34999999999997,187.28333333333336,297.1,251.56666666666666,196.41676065594473,123.58413333247736,250.85395581135572,200.52371707452156,383.8,257.9166666666667,457.6833333333333,370.51666666666665,383.8,257.9166666666667,457.6833333333333,370.51666666666665,254.0,198.0,300.0,259.0,216.49,181.882,294.096,240.68400000000003
0D83M5VE,240.0,205.45000000000005,273.5166666666667,271.8666666666667,242.2989979617773,201.89139322245995,280.69310756385005,278.49395498016906,347.3,284.8,388.6,386.5333333333333,347.3,284.8,388.6,386.5333333333333,255.0,195.0,287.0,276.0,268.084,192.27200000000002,305.642,283.876
0DBRJXKG,321.1166666666666,258.0333333333333,381.00000000000006,326.26666666666665,263.3636957805933,199.77986815818585,323.3856305534304,271.9448478838452,456.1333333333334,339.46666666666664,547.2333333333333,454.4833333333334,456.1333333333334,339.46666666666664,547.2333333333333,454.4833333333334,332.0,251.0,415.0,331.0,306.97,251.84,435.75199999999995,325.962
0DG8XRZP,243.31666666666663,191.95,290.13333333333327,281.54999999999995,228.50638371781045,168.53492085572884,278.4766113760354,268.3000074063133,368.1166666666667,284.38333333333327,437.73333333333323,419.2,368.1166666666667,284.38333333333327,437.73333333333323,419.2,253.0,193.0,295.0,277.0,253.878,189.53799999999998,307.144,278.628
0EXY6KFW,274.15,234.91666666666669,330.8,305.3166666666667,246.31392559216835,206.32544355327653,305.2360131968289,279.1283018686222,362.95,308.8666666666667,437.3833333333334,401.8499999999999,362.95,308.8666666666667,437.3833333333334,401.8499999999999,300.0,232.0,368.0,310.0,276.808,219.28599999999997,369.768,299.836
0FLH,291.1666666666667,176.14999999999998,288.7333333333333,272.2,273.82679437941016,91.77138864248455,271.05654085485855,241.97113583818918,788.0500000000001,287.33333333333337,703.9,604.3833333333334,788.0500000000001,287.33333333333337,703.9,604.3833333333334,233.0,180.0,255.0,252.0,250.356,167.22400000000002,271.76,264.684
0FUC15ZB,218.8166666666666,182.45,274.41666666666663,244.13333333333335,188.6815628622893,145.48180442917888,244.4780758382985,212.27357378342882,322.43333333333334,249.95000000000005,387.65000000000003,340.58333333333337,322.43333333333334,249.95000000000005,387.65000000000003,340.58333333333337,242.0,190.0,300.0,249.0,214.16,174.03199999999995,288.074,238.32
0G37YGY1,313.6333333333333,182.49999999999997,333.08333333333337,271.43333333333334,232.121352500295,76.55697936731737,258.5134620400335,182.1809515459591,653.7833333333333,259.05,642.2,444.41666666666663,653.7833333333333,259.05,642.2,444.41666666666663,256.0,190.0,306.0,262.0,231.19,189.112,305.54400000000004,256.22
0G42TBW1,262.2,204.39999999999998,312.59999999999997,275.8333333333333,220.87838628551285,154.39469116237322,273.15284538179804,232.8502646412384,393.6833333333333,286.20000000000005,469.45,396.9,393.6833333333333,286.20000000000005,469.45,396.9,273.0,208.0,324.0,273.0,249.25799999999998,196.738,322.91,268.02
0KTEM27A,304.3333333333333,196.4,319.65000000000003,308.31666666666666,284.7115663716066,124.28719570038135,304.78515144559805,285.88474949153,751.4499999999999,318.3833333333334,762.2666666666667,689.1166666666667,751.4499999999999,318.3833333333334,762.2666666666667,689.1166666666667,260.0,201.0,286.0,286.0,281.092,193.46400000000003,318.656,298.54
0LN1KD13,280.2666666666667,222.96666666666664,337.66666666666663,299.6499999999999,246.1153489274971,185.5391150281538,307.6114281639359,268.2601050901972,410.23333333333335,307.7666666666667,489.15000000000003,427.81666666666666,410.23333333333335,307.7666666666667,489.15000000000003,427.81666666666666,294.0,222.0,358.0,298.0,286.452,224.29,371.526,298.052
0N0JE94U,237.45,180.73333333333335,293.3333333333333,231.53333333333333,169.37168850507194,113.71906835806254,228.19381096448004,167.36319320182014,312.41666666666663,231.26666666666665,381.2333333333333,286.3500000000001,312.41666666666663,231.26666666666665,381.2333333333333,286.3500000000001,258.0,190.0,348.0,244.0,208.492,193.362,257.276,222.96
0NJE7J4R,301.9666666666667,247.94999999999996,355.55,324.58333333333337,270.9407990995312,216.88768211989813,325.55169538346195,295.31630552690746,406.0666666666667,327.4,479.83333333333326,426.4833333333333,406.0666666666667,327.4,479.83333333333326,426.4833333333333,326.0,243.0,404.0,327.0,298.356,245.682,414.25199999999995,317.594
