,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
00R4TXET,267.1166666666667,212.7,318.91666666666663,286.31666666666666,233.36539268372044,172.71091793769506,285.59669490112987,254.07893590643175,410.6333333333333,292.8333333333333,473.71666666666664,408.8833333333333,410.6333333333333,292.8333333333333,473.71666666666664,408.8833333333333,279.0,222.0,340.0,291.0,253.206,208.32,341.814,282.02
00U4FTRU,257.66666666666663,212.76666666666668,301.55,283.25,239.82582501181352,193.02953547222057,284.3479287558662,264.6182605995685,342.6333333333334,284.65000000000003,404.8,375.6,342.6333333333334,284.65000000000003,404.8,375.6,276.0,212.0,336.0,292.0,262.926,207.528,340.766,286.242
00UMK5VC,255.41666666666663,214.28333333333333,307.68333333333334,283.01666666666665,232.76961267465066,187.12004289625614,287.1615148100761,261.0531356437057,345.65,289.45,414.1833333333333,383.7833333333333,345.65,289.45,414.1833333333333,383.7833333333333,282.0,215.0,338.0,290.0,256.574,204.3,335.274,276.31600000000003
00X2TBWJ,261.76785714285717,222.16071428571428,306.2142857142857,284.51785714285717,238.7984174857333,196.5267687851393,285.652240779851,261.577204305629,366.0,286.3035714285714,416.7857142857143,371.5357142857142,366.0,286.3035714285714,416.7857142857143,371.5357142857142,279.0,214.0,343.0,288.0,254.672,205.5,345.17800000000005,280.586
0191C80U,285.2333333333333,206.26666666666662,337.66666666666663,291.84999999999997,233.7695100602833,143.56196903593107,286.3412466769668,240.26715525081,472.38333333333327,294.28333333333336,540.8666666666666,440.73333333333323,472.38333333333327,294.28333333333336,540.8666666666666,440.73333333333323,278.0,216.0,339.0,291.0,262.582,208.666,341.088,279.01800000000003
01D03VR7,247.36,222.42000000000002,301.98,279.24,231.40377339157314,204.67191225180883,286.7926994307427,264.25096799044434,331.3,285.8,388.74,366.3999999999999,331.3,285.8,388.74,366.3999999999999,280.0,212.0,337.0,288.0,263.01800000000003,206.40400000000002,342.29400000000004,286.086
01ELX9L6,252.18,227.76000000000002,304.38000000000005,285.15999999999997,236.38381479574437,210.72267767968856,288.9203121283937,270.30570406006035,323.64,287.79999999999995,381.9200000000001,361.82000000000005,323.64,287.79999999999995,381.9200000000001,361.82000000000005,282.0,215.0,345.0,288.0,263.562,209.768,340.482,279.558
01EN91PG,261.89655172413796,227.12068965517238,296.36206896551727,273.1034482758621,246.45404778921016,210.35153676333007,281.836330409695,258.9363456305932,329.44827586206895,288.31034482758616,376.13793103448273,357.4655172413793,329.44827586206895,288.31034482758616,376.13793103448273,357.4655172413793,281.0,218.0,336.0,285.0,258.684,201.5,343.242,280.75
01NAYMZH,260.16666666666663,219.86666666666665,303.51666666666665,284.2,234.37151164971937,190.8168935905164,280.00082142370513,259.9697723000578,362.1166666666666,287.9333333333333,426.6666666666667,389.93333333333334,362.1166666666666,287.9333333333333,426.6666666666667,389.93333333333334,279.0,215.0,336.0,292.0,259.828,209.818,347.158,283.222
021403LF,248.83333333333337,220.33333333333334,308.0166666666666,285.09999999999997,235.62581778840396,207.34949535189494,296.90564823560584,273.7414167753489,313.81666666666666,280.99999999999994,378.09999999999997,355.3833333333333,313.81666666666666,280.99999999999994,378.09999999999997,355.3833333333333,282.0,213.0,337.0,290.0,256.402,209.054,339.91,291.682
