,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
00R4TXET,280.01666666666665,211.1833333333333,321.25,288.9,244.86140423341317,173.60961457393444,290.47319306876483,257.20192416205475,418.23333333333335,295.85,473.06666666666666,413.45,418.23333333333335,295.85,473.06666666666666,413.45,290.0,213.0,342.0,286.0,266.54200000000003,210.852,344.32800000000003,283.814
00U4FTRU,230.63333333333333,205.68333333333334,280.84999999999997,270.78333333333336,226.7719169087754,198.27017027457538,279.5026551353038,268.51266253647844,321.0166666666667,283.68333333333334,383.7166666666667,376.55,321.0166666666667,283.68333333333334,383.7166666666667,376.55,255.0,200.0,302.0,273.0,261.994,191.06400000000002,313.598,280.866
00UMK5VC,247.0666666666667,209.50000000000003,295.3666666666667,281.73333333333335,236.6350572196754,194.5813244464569,286.2053439921414,272.6251850519067,341.1666666666667,285.55,404.9166666666667,387.5833333333333,341.1666666666667,285.55,404.9166666666667,387.5833333333333,264.0,208.0,310.0,281.0,261.124,203.532,331.20599999999996,280.91200000000003
00X2TBWJ,291.2678571428571,233.78571428571428,350.875,284.32142857142856,229.9223980173669,178.30411810221787,289.96604083382397,229.16013443657215,174.75,109.76785714285714,210.48214285714283,148.21428571428572,174.75,109.76785714285714,210.48214285714283,148.21428571428572,318.0,237.0,437.0,294.0,254.0,255.23200000000003,346.756,279.802
0191C80U,291.09999999999997,212.9333333333333,345.40000000000003,296.7,229.82159343899602,142.05429315147236,287.1277980228676,237.35278793178963,475.6166666666667,296.5,551.1833333333333,442.3999999999999,475.6166666666667,296.5,551.1833333333333,442.3999999999999,285.0,221.0,347.0,297.0,256.718,204.84599999999998,347.202,275.896
01D03VR7,231.76,193.09999999999997,244.22,289.02,256.760496596315,213.40636405212823,281.09712677802037,341.37742584137595,320.09999999999997,276.38,331.71999999999997,383.96000000000004,320.09999999999997,276.38,331.71999999999997,383.96000000000004,232.0,176.0,247.0,260.0,265.14599999999996,178.838,270.286,285.512
01ELX9L6,243.71999999999994,228.21999999999997,283.65999999999997,277.4999999999999,236.78585555659595,218.9902531771314,278.8878918204988,272.9509550903259,315.18,277.98,373.11999999999995,362.49999999999994,315.18,277.98,373.11999999999995,362.49999999999994,268.0,204.0,313.0,284.0,268.636,197.00799999999998,323.77,277.54200000000003
01EN91PG,261.2413793103448,231.0689655172414,299.1206896551724,277.68965517241384,239.05713623357366,206.24619478752646,277.30705717243455,256.08845096518326,321.39655172413796,281.0,379.7758620689655,343.0862068965517,321.39655172413796,281.0,379.7758620689655,343.0862068965517,287.0,224.0,360.0,283.0,250.222,214.992,340.006,277.634
01NAYMZH,257.2666666666667,211.0,301.8166666666667,288.3,241.15744312104118,190.8621106929939,288.596445909146,274.2240150112254,369.24999999999994,288.5833333333333,424.65,397.9166666666667,369.24999999999994,288.5833333333333,424.65,397.9166666666667,272.0,203.0,315.0,287.0,274.524,195.72,333.824,287.42
021403LF,261.51666666666665,229.55,304.29999999999995,286.69999999999993,241.8752589334497,210.70703887713142,286.37085405012215,266.9655210685912,191.13333333333333,169.01666666666668,233.18333333333334,212.2,191.13333333333333,169.01666666666668,233.18333333333334,212.2,295.0,224.0,367.0,292.0,260.32,219.924,353.28,282.29
022ZVCT8,243.25,212.8833333333333,297.2833333333333,282.06666666666666,228.97363555901677,195.42141788929993,283.4831517197478,267.28484793566685,276.1166666666666,235.16666666666666,333.23333333333323,307.76666666666665,276.1166666666666,235.16666666666666,333.23333333333323,307.76666666666665,270.0,207.0,329.0,287.0,256.61400000000003,201.492,338.49199999999996,283.836
028D3ELL,274.85,218.85000000000002,334.8,292.93333333333334,220.65671118366626,163.48949769455118,283.26034298018465,239.73882049856473,248.45,197.51666666666665,312.3,264.98333333333335,248.45,197.51666666666665,312.3,264.98333333333335,299.0,230.0,372.0,296.0,255.412,224.42,366.95,275.242
028WCTG6,275.29999999999995,219.95,338.19999999999993,294.8333333333333,227.87913810412564,164.7256681002027,294.10871559873965,247.98814227592632,325.15,250.35,407.8666666666667,345.1666666666667,325.15,250.35,407.8666666666667,345.1666666666667,290.0,224.0,351.0,295.0,259.526,210.762,353.626,292.698
029PWCFY,334.4666666666667,223.8833333333333,400.54999999999995,296.7666666666667,221.62060054414556,122.85308096125905,289.8838046602484,195.44492618092468,375.79999999999995,207.20000000000002,443.23333333333335,287.21666666666664,375.79999999999995,207.20000000000002,443.23333333333335,287.21666666666664,321.0,232.0,406.0,297.0,269.004,249.372,352.034,284.96
02EBX0JJ,214.68333333333334,198.51666666666665,237.4,262.01666666666665,242.03666837878123,223.56693938955235,268.9173923648034,307.8377543312844,563.6333333333333,509.65,605.5333333333332,661.1166666666666,563.6333333333333,509.65,605.5333333333332,661.1166666666666,227.0,173.0,239.0,250.0,259.942,170.6,260.64599999999996,274.55400000000003
02JXJUZG,248.03508771929822,218.2105263157895,283.92982456140345,276.1578947368421,241.6960937516294,208.36513861401824,280.91228070175436,272.03365363134685,366.12280701754383,319.1754385964912,421.9298245614035,408.8771929824561,366.12280701754383,319.1754385964912,421.9298245614035,408.8771929824561,258.0,200.0,295.0,282.0,264.938,192.49599999999998,318.758,285.19599999999997
02RCED7D,280.55,233.11666666666665,352.08333333333337,291.3,219.63348286056876,169.82576343163177,290.24795831698964,229.879962253503,202.14999999999998,160.86666666666667,261.8,206.35000000000002,202.14999999999998,160.86666666666667,261.8,206.35000000000002,312.0,234.0,410.0,301.0,262.736,237.79,365.444,287.176
02UVMTY7,250.46666666666667,212.61666666666665,303.1166666666667,290.9333333333333,230.8137012126167,190.89212378351277,284.9402298618433,271.87102518914827,297.1166666666666,248.71666666666667,360.6833333333333,339.0333333333333,297.1166666666666,248.71666666666667,360.6833333333333,339.0333333333333,281.0,215.0,333.0,289.0,266.3,208.554,345.164,280.13800000000003
02WP3TP6,273.65000000000003,214.70000000000002,357.28333333333336,285.91666666666663,215.05684859594453,151.61870287653554,295.2749175026014,226.80676892648282,269.31666666666666,206.59999999999997,348.24999999999994,277.61666666666673,269.31666666666666,206.59999999999997,348.24999999999994,277.61666666666673,293.0,223.0,381.0,292.0,255.484,223.132,357.774,278.596
030W95VP,255.84999999999997,213.4333333333333,302.1166666666667,283.53333333333336,236.6191223290034,189.9613058728435,284.9510961289458,266.76934867341487,359.54999999999995,294.4333333333333,424.48333333333335,399.6166666666666,359.54999999999995,294.4333333333333,424.48333333333335,399.6166666666666,274.0,211.0,316.0,282.0,264.422,198.804,330.6140000000001,283.714
030X9ZNH,252.03508771929822,234.61403508771923,295.2280701754386,293.0350877192982,235.53198837500926,216.59693539817502,279.6491228070176,276.51546764552353,306.4736842105263,281.78947368421046,364.9122807017544,347.280701754386,306.4736842105263,281.78947368421046,364.9122807017544,347.280701754386,288.0,219.0,348.0,291.0,246.888,215.14,346.5,280.334
0314RN9P,284.71153846153845,230.4807692307693,331.1923076923077,290.32692307692315,238.37837949673505,177.82558745274537,284.23822375349033,242.49823742298983,437.71153846153845,289.4038461538462,493.8653846153847,394.8846153846154,437.71153846153845,289.4038461538462,493.8653846153847,394.8846153846154,285.0,221.0,358.0,290.0,254.59400000000002,213.868,348.39,287.212
03BDCNWM,253.03333333333336,203.55,304.29999999999995,277.9166666666667,225.2202654060577,173.5070495802103,277.3980408178909,251.19208891734502,363.6,287.7166666666667,432.69999999999993,394.7999999999999,363.6,287.7166666666667,432.69999999999993,394.7999999999999,273.0,208.0,324.0,282.0,253.01,202.84799999999998,336.7920000000001,277.41200000000003
